col_var_id,target_var_id,E,tau,lag,surr_var,min_surr_num,max_surr_num
Erb22daGMST,Wu18TSI,6,1,-26,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-25,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-24,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-23,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-22,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-21,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-20,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-19,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-18,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-17,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-16,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-15,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-14,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-13,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-12,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-11,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-10,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-9,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-8,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-7,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-6,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-5,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-4,neither,0,0
Erb22daGMST,Wu18TSI,6,1,-3,neither,0,0
